id,firsName,LastName,displayName,teamName
14,Ike,Anigbogu,Ike Anigbogu,Indiana Pacers
25,Ron,Baker,Ron Baker,New York Knicks
47,Jabari,Bird,Jabari Bird,Boston Celtics
67,MarShon,Brooks,MarShon Brooks,Memphis Grizzlies
71,Lorenzo,Brown,Lorenzo Brown,Toronto Raptors
90,Omri,Casspi,Omri Casspi,Memphis Grizzlies
1,Alex,Abrines,Alex Abrines,Oklahoma City Thunder
119,Tyler,Davis,Tyler Davis,Oklahoma City Thunder
149,Keenan,Evans,Keenan Evans,Detroit Pistons
179,Marcin,Gortat,Marcin Gortat,LA Clippers
1593,Andrew,Bogut,Andrew Bogut,Golden State Warriors
241,Amir,Johnson,Amir Johnson,Philadelphia 76ers
256,George,King,George King,Phoenix Suns
281,Zach,Lofton,Zach Lofton,Detroit Pistons
263,Kosta,Koufos,Kosta Koufos,Sacramento Kings
348,James,Nunnally,James Nunnally,Minnesota Timberwolves
382,Billy,Preston,Billy Preston,Cleveland Cavaliers
384,Zhou,Qi,Zhou Qi,Houston Rockets
388,Zach,Randolph,Zach Randolph,Sacramento Kings
392,Malachi,Richardson,Malachi Richardson,Toronto Raptors
430,DJ,Stephens,DJ Stephens,Memphis Grizzlies
437,Milos,Teodosic,Milos Teodosic,LA Clippers
448,Gary,Trent Jr.,Gary Trent Jr.,Portland Trail Blazers
494,Michael,Smith,Michael Smith,Boston Celtics
495,John,Morton,John Morton,Cleveland Cavaliers
496,Howard,Wright,Howard Wright,Atlanta Hawks
497,Michael,Ansley,Michael Ansley,Orlando Magic
498,John,Salley,John Salley,Detroit Pistons
499,Dan,Schayes,Dan Schayes,Milwaukee Bucks
500,Mark,Eaton,Mark Eaton,Utah Jazz
501,Kevin,Johnson,Kevin Johnson,Phoenix Suns
502,Danny,Ainge,Danny Ainge,Portland Trail Blazers
503,Kenny,Smith,Kenny Smith,Houston Rockets
504,Randy,Breuer,Randy Breuer,Minnesota Timberwolves
505,Herb,Williams,Herb Williams,Dallas Mavericks
506,Joe,Wolf,Joe Wolf,Denver Nuggets
507,Steve,Johnson,Steve Johnson,Golden State Warriors
508,Glen,Rice,Glen Rice,Miami Heat
509,Greg,Foster,Greg Foster,Washington Wizards
510,Larry,Nance,Larry Nance,Cleveland Cavaliers
511,Duane,Ferrell,Duane Ferrell,Atlanta Hawks
512,Nick,Anderson,Nick Anderson,Orlando Magic
513,Joe,Dumars,Joe Dumars,Detroit Pistons
514,Jay,Humphries,Jay Humphries,Milwaukee Bucks
515,Darrell,Griffith,Darrell Griffith,Utah Jazz
516,Dan,Majerle,Dan Majerle,Phoenix Suns
517,Tom,Chambers,Tom Chambers,Phoenix Suns
518,Alaa,Abdelnaby,Alaa Abdelnaby,Portland Trail Blazers
519,Adrian,Caldwell,Adrian Caldwell,Houston Rockets
520,Vernon,Maxwell,Vernon Maxwell,Houston Rockets
521,Doug,West,Doug West,Minnesota Timberwolves
522,Tony,Campbell,Tony Campbell,Minnesota Timberwolves
523,Roy,Tarpley,Roy Tarpley,Dallas Mavericks
524,Anthony,Cook,Anthony Cook,Denver Nuggets
525,Todd,Lichti,Todd Lichti,Denver Nuggets
526,Tom,Tolbert,Tom Tolbert,Golden State Warriors
527,Billy,Thompson,Billy Thompson,Miami Heat
528,Byron,Irvin,Byron Irvin,Washington Wizards
529,Mark,Price,Mark Price,Cleveland Cavaliers
530,Dominique,Wilkins,Dominique Wilkins,Atlanta Hawks
531,Dennis,Scott,Dennis Scott,Orlando Magic
532,Terry,Catledge,Terry Catledge,Orlando Magic
533,Bill,Laimbeer,Bill Laimbeer,Detroit Pistons
534,William,Bedford,William Bedford,Detroit Pistons
535,Ricky,Pierce,Ricky Pierce,Milwaukee Bucks
536,Blue,Edwards,Blue Edwards,Utah Jazz
537,Walter,Palmer,Walter Palmer,Utah Jazz
538,Mark,West,Mark West,Phoenix Suns
